Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2018-10-15 09:24:28.371649, 57.6, 1212, 462, 115083, 920, 130781, 10462, 576, 1213, 483, 576, 1212, 442, 100, 76, 0, 599, 576;
, 
ttyUSB0, 2018-10-15 09:24:29.376671, 57.9, 1212, 473, 115083, 920, 130781, 10462, 579, 1213, 505, 576, 1211, 447, 98, 76, 0, 600, 588;
, 
ttyUSB0, 2018-10-15 09:24:30.374340, 129.5, 1206, 1660, 115084, 920, 130781, 10462, 1295, 1212, 1748, 579, 1205, 473, 100, 76, 0, 600, 1295;
, 
ttyUSB0, 2018-10-15 09:24:31.372559, 202.9, 1205, 1709, 115084, 920, 130781, 10462, 2029, 1206, 1722, 1295, 1205, 1562, 100, 76, 0, 599, 2029;
, 
ttyUSB0, 2018-10-15 09:24:32.376497, 203.1, 1205, 1714, 115085, 920, 130781, 10462, 2031, 1207, 1729, 2029, 1205, 1546, 100, 76, 0, 600, 2031;
, 
ttyUSB0, 2018-10-15 09:24:33.379103, 203.0, 1205, 1743, 115086, 920, 130781, 10462, 2031, 1207, 1792, 2030, 1205, 1544, 100, 76, 0, 600, 2030;
, 
ttyUSB0, 2018-10-15 09:24:34.377579, 202.8, 1206, 1568, 115086, 920, 130781, 10462, 2030, 1207, 1757, 2028, 1205, 1559, 100, 76, 0, 600, 2028;
, 
ttyUSB0, 2018-10-15 09:24:35.376670, 202.8, 1205, 1732, 115087, 920, 130781, 10462, 2028, 1207, 1786, 2028, 1204, 1559, 100, 76, 0, 600, 2028;
, 
ttyUSB0, 2018-10-15 09:24:36.374639, 203.1, 1206, 1681, 115087, 920, 130781, 10462, 2031, 1206, 1789, 2028, 1204, 1565, 100, 76, 0, 600, 2031;
, 
