Platform 0 : Advanced Micro Devices, Inc.
Platform found : Advanced Micro Devices, Inc.

Selected Platform Vendor : Advanced Micro Devices, Inc.
Device 0 : Cypress Device ID is 0x1c515c0
Selecting vector kernel
input length = 3200 ints
input size = 12800 bytes
Executing kernel for 1 iterations
-------------------------------------------
redundant wi = 4 
Aging enabled kernel: 
globalThreads = 6300, localThreads = 63  
degraded 34 41 
degraded 50 41 
faulty 2 42 
faulty 18 42 
faulty 34 42 
faulty 50 42 
degraded 2 42 
degraded 18 42 
degraded 34 42 
degraded 50 42 
faulty 2 43 
faulty 18 43 
faulty 34 43 
faulty 50 43 
degraded 2 43 
degraded 18 43 
degraded 34 43 
degraded 50 43 
faulty 2 44 
faulty 18 44 
faulty 34 44 
faulty 50 44 
degraded 2 44 
degraded 18 44 
degraded 34 44 
degraded 50 44 
faulty 2 45 
faulty 18 45 
faulty 34 45 
faulty 50 45 
degraded 2 45 
degraded 18 45 
degraded 34 45 
degraded 50 45 
faulty 2 46 
faulty 18 46 
faulty 34 46 
faulty 50 46 
degraded 2 46 
degraded 18 46 
degraded 34 46 
degraded 50 46 
faulty 2 47 
faulty 18 47 
faulty 34 47 
faulty 50 47 
degraded 2 47 
degraded 18 47 
degraded 34 47 
degraded 50 47 
faulty 2 48 
faulty 18 48 
faulty 34 48 
faulty 50 48 
degraded 2 48 
degraded 18 48 
degraded 34 48 
degraded 50 48 
faulty 2 49 
faulty 18 49 
faulty 34 49 
faulty 50 49 
degraded 2 49 
degraded 18 49 
degraded 34 49 
degraded 50 49 
faulty 2 50 
faulty 18 50 
faulty 34 50 
faulty 50 50 
degraded 2 50 
degraded 18 50 
degraded 34 50 
degraded 50 50 
faulty 2 51 
faulty 18 51 
faulty 34 51 
faulty 50 51 
degraded 2 51 
degraded 18 51 
degraded 34 51 
degraded 50 51 
faulty 2 52 
faulty 18 52 
faulty 34 52 
faulty 50 52 
degraded 2 52 
degraded 18 52 
degraded 34 52 
degraded 50 52 
faulty 2 53 
faulty 18 53 
faulty 34 53 
faulty 50 53 
degraded 2 53 
degraded 18 53 
degraded 34 53 
degraded 50 53 
faulty 2 54 
faulty 18 54 
faulty 34 54 
faulty 50 54 
degraded 2 54 
degraded 18 54 
degraded 34 54 
degraded 50 54 
faulty 2 55 
faulty 18 55 
faulty 34 55 
faulty 50 55 
degraded 2 55 
degraded 18 55 
degraded 34 55 
degraded 50 55 
faulty 2 56 
faulty 18 56 
faulty 34 56 
faulty 50 56 
degraded 2 56 
degraded 18 56 
degraded 34 56 
degraded 50 56 
faulty 2 57 
faulty 18 57 
faulty 34 57 
faulty 50 57 
degraded 2 57 
degraded 18 57 
degraded 34 57 
degraded 50 57 
faulty 2 58 
faulty 18 58 
faulty 34 58 
faulty 50 58 
degraded 2 58 
degraded 18 58 
degraded 34 58 
degraded 50 58 
faulty 2 59 
faulty 18 59 
faulty 34 59 
faulty 50 59 
degraded 2 59 
degraded 18 59 
degraded 34 59 
degraded 50 59 
faulty 2 60 
faulty 18 60 
faulty 34 60 
faulty 50 60 
degraded 2 60 
degraded 18 60 
degraded 34 60 
degraded 50 60 
faulty 2 61 
faulty 18 61 
faulty 34 61 
faulty 50 61 
degraded 2 61 
degraded 18 61 
degraded 34 61 
degraded 50 61 
faulty 2 62 
faulty 18 62 
faulty 34 62 
faulty 50 62 
degraded 2 62 
degraded 18 62 
degraded 34 62 
degraded 50 62 
faulty 2 63 
faulty 18 63 
faulty 34 63 
faulty 50 63 
degraded 2 63 
degraded 18 63 
degraded 34 63 
degraded 50 63 
faulty 2 64 
faulty 18 64 
faulty 34 64 
faulty 50 64 
degraded 2 64 
degraded 18 64 
degraded 34 64 
degraded 50 64 
faulty 2 65 
faulty 18 65 
faulty 34 65 
faulty 50 65 
degraded 2 65 
degraded 18 65 
degraded 34 65 
degraded 50 65 
faulty 2 66 
faulty 18 66 
faulty 34 66 
faulty 50 66 
degraded 2 66 
degraded 18 66 
degraded 34 66 
degraded 50 66 
faulty 2 67 
faulty 18 67 
faulty 34 67 
faulty 50 67 
degraded 2 67 
degraded 18 67 
degraded 34 67 
degraded 50 67 
faulty 2 68 
faulty 18 68 
faulty 34 68 
faulty 50 68 
degraded 2 68 
degraded 18 68 
degraded 34 68 
degraded 50 68 
faulty 2 69 
faulty 18 69 
faulty 34 69 
faulty 50 69 
degraded 2 69 
degraded 18 69 
degraded 34 69 
degraded 50 69 
faulty 2 70 
faulty 18 70 
faulty 34 70 
faulty 50 70 
degraded 2 70 
degraded 18 70 
degraded 34 70 
degraded 50 70 
faulty 2 71 
faulty 18 71 
faulty 34 71 
faulty 50 71 
degraded 2 71 
degraded 18 71 
degraded 34 71 
degraded 50 71 
faulty 2 72 
faulty 18 72 
faulty 34 72 
faulty 50 72 
degraded 2 72 
degraded 18 72 
degraded 34 72 
degraded 50 72 
faulty 2 73 
faulty 18 73 
faulty 34 73 
faulty 50 73 
degraded 2 73 
degraded 18 73 
degraded 34 73 
degraded 50 73 
faulty 2 74 
faulty 18 74 
faulty 34 74 
faulty 50 74 
degraded 2 74 
degraded 18 74 
degraded 34 74 
degraded 50 74 
faulty 2 75 
faulty 18 75 
faulty 34 75 
faulty 50 75 
degraded 2 75 
degraded 18 75 
degraded 34 75 
degraded 50 75 
faulty 2 76 
faulty 18 76 
faulty 34 76 
faulty 50 76 
degraded 2 76 
degraded 18 76 
degraded 34 76 
degraded 50 76 
faulty 2 77 
faulty 18 77 
faulty 34 77 
faulty 50 77 
degraded 2 77 
degraded 18 77 
degraded 34 77 
degraded 50 77 
faulty 2 78 
faulty 18 78 
faulty 34 78 
faulty 50 78 
degraded 2 78 
degraded 18 78 
degraded 34 78 
degraded 50 78 
faulty 2 79 
faulty 18 79 
faulty 34 79 
faulty 50 79 
degraded 2 79 
degraded 18 79 
degraded 34 79 
degraded 50 79 
faulty 2 80 
faulty 18 80 
faulty 34 80 
faulty 50 80 
degraded 2 80 
degraded 18 80 
degraded 34 80 
degraded 50 80 
faulty 2 81 
faulty 18 81 
faulty 34 81 
faulty 50 81 
degraded 2 81 
degraded 18 81 
degraded 34 81 
degraded 50 81 
faulty 2 82 
faulty 18 82 
faulty 34 82 
faulty 50 82 
degraded 2 82 
degraded 18 82 
degraded 34 82 
degraded 50 82 
faulty 2 83 
faulty 18 83 
faulty 34 83 
faulty 50 83 
degraded 2 83 
degraded 18 83 
degraded 34 83 
degraded 50 83 
faulty 2 84 
faulty 18 84 
faulty 34 84 
faulty 50 84 
degraded 2 84 
degraded 18 84 
degraded 34 84 
degraded 50 84 
faulty 2 85 
faulty 18 85 
faulty 34 85 
faulty 50 85 
degraded 2 85 
degraded 18 85 
degraded 34 85 
degraded 50 85 
faulty 2 86 
faulty 18 86 
faulty 34 86 
faulty 50 86 
degraded 2 86 
degraded 18 86 
degraded 34 86 
degraded 50 86 
faulty 2 87 
faulty 18 87 
faulty 34 87 
faulty 50 87 
degraded 2 87 
degraded 18 87 
degraded 34 87 
degraded 50 87 
faulty 2 88 
faulty 18 88 
faulty 34 88 
faulty 50 88 
degraded 2 88 
degraded 18 88 
degraded 34 88 
degraded 50 88 
faulty 2 89 
faulty 18 89 
faulty 34 89 
faulty 50 89 
degraded 2 89 
degraded 18 89 
degraded 34 89 
degraded 50 89 
faulty 2 90 
faulty 18 90 
faulty 34 90 
faulty 50 90 
degraded 2 90 
degraded 18 90 
degraded 34 90 
degraded 50 90 
faulty 2 91 
faulty 18 91 
faulty 34 91 
faulty 50 91 
degraded 2 91 
degraded 18 91 
degraded 34 91 
degraded 50 91 
faulty 2 92 
faulty 18 92 
faulty 34 92 
faulty 50 92 
degraded 2 92 
degraded 18 92 
degraded 34 92 
degraded 50 92 
faulty 2 93 
faulty 18 93 
faulty 34 93 
faulty 50 93 
degraded 2 93 
degraded 18 93 
degraded 34 93 
degraded 50 93 
faulty 2 94 
faulty 18 94 
faulty 34 94 
faulty 50 94 
degraded 2 94 
degraded 18 94 
degraded 34 94 
degraded 50 94 
faulty 2 95 
faulty 18 95 
faulty 34 95 
faulty 50 95 
degraded 2 95 
degraded 18 95 
degraded 34 95 
degraded 50 95 
faulty 2 96 
faulty 18 96 
faulty 34 96 
faulty 50 96 
degraded 2 96 
degraded 18 96 
degraded 34 96 
degraded 50 96 
faulty 2 97 
faulty 18 97 
faulty 34 97 
faulty 50 97 
degraded 2 97 
degraded 18 97 
degraded 34 97 
degraded 50 97 
faulty 2 98 
faulty 18 98 
faulty 34 98 
faulty 50 98 
degraded 2 98 
degraded 18 98 
degraded 34 98 
degraded 50 98 
faulty 2 99 
faulty 18 99 
faulty 34 99 
faulty 50 99 
degraded 2 99 
degraded 18 99 
degraded 34 99 
degraded 50 99 

Total kernel execution time = 371.481 ms

Output
0 0.5 0.25 0.75 0.125 0.625 0.375 0.875 0.0625 0.5625 0.3125 0.8125 0.1875 0.6875 0.4375 0.9375 0.03125 0.53125 0.28125 0.78125 0.15625 0.65625 0.40625 0.90625 0.09375 0.59375 0.34375 0.84375 0.21875 0.71875 0.46875 0.96875 0.015625 0.515625 0.265625 0.765625 0.140625 0.640625 0.390625 0.890625 0.078125 0.578125 0.328125 0.828125 0.203125 0.703125 0.453125 0.953125 0.046875 0.546875 0.296875 0.796875 0.171875 0.671875 0.421875 0.921875 0.109375 0.609375 0.359375 0.859375 0.234375 0.734375 0.484375 0.984375 0.0078125 0.507812 0.257812 0.757812 0.132812 0.632812 0.382812 0.882812 0.0703125 0.570312 0.320312 0.820312 0.195312 0.695312 0.445312 0.945312 0.0390625 0.539062 0.289062 0.789062 0.164062 0.664062 0.414062 0.914062 0.101562 0.601562 0.351562 0.851562 0.226562 0.726562 0.476562 0.976562 0.0234375 0.523438 0.273438 0.773438 0.148438 0.648438 0.398438 0.898438 0.0859375 0.585938 0.335938 0.835938 0.210938 0.710938 0.460938 0.960938 0.0546875 0.554688 0.304688 0.804688 0.179688 0.679688 0.429688 0.929688 0.117188 0.617188 0.367188 0.867188 0.242188 0.742188 0.492188 0.992188 0.00390625 0.503906 0.253906 0.753906 0.128906 0.628906 0.378906 0.878906 0.0664062 0.566406 0.316406 0.816406 0.191406 0.691406 0.441406 0.941406 0.0351562 0.535156 0.285156 0.785156 0.160156 0.660156 0.410156 0.910156 0.0976562 0.597656 0.347656 0.847656 0.222656 0.722656 0.472656 0.972656 0.0195312 0.519531 0.269531 0.769531 0.144531 0.644531 0.394531 0.894531 0.0820312 0.582031 0.332031 0.832031 0.207031 0.707031 0.457031 0.957031 0.0507812 0.550781 0.300781 0.800781 0.175781 0.675781 0.425781 0.925781 0.113281 0.613281 0.363281 0.863281 0.238281 0.738281 0.488281 0.988281 0.0117188 0.511719 0.261719 0.761719 0.136719 0.636719 0.386719 0.886719 0.0742188 0.574219 0.324219 0.824219 0.199219 0.699219 0.449219 0.949219 0.0429688 0.542969 0.292969 0.792969 0.167969 0.667969 0.417969 0.917969 0.105469 0.605469 0.355469 0.855469 0.230469 0.730469 0.480469 0.980469 0.0273438 0.527344 0.277344 0.777344 0.152344 0.652344 0.402344 0.902344 0.0898438 0.589844 0.339844 0.839844 
